,Abbrev,Long,Category
3465,CATS2D_00_PP,CATS2D Positive-Positive at lag 00 (number of positive atoms), Pharmacophore descriptors
3466,CATS2D_01_PP,CATS2D Positive-Positive at lag 01, Pharmacophore descriptors
3467,CATS2D_02_PP,CATS2D Positive-Positive at lag 02, Pharmacophore descriptors
3468,CATS2D_03_PP,CATS2D Positive-Positive at lag 03, Pharmacophore descriptors
3469,CATS2D_04_PP,CATS2D Positive-Positive at lag 04, Pharmacophore descriptors
3470,CATS2D_05_PP,CATS2D Positive-Positive at lag 05, Pharmacophore descriptors
3471,CATS2D_06_PP,CATS2D Positive-Positive at lag 06, Pharmacophore descriptors
3472,CATS2D_07_PP,CATS2D Positive-Positive at lag 07, Pharmacophore descriptors
3473,CATS2D_08_PP,CATS2D Positive-Positive at lag 08, Pharmacophore descriptors
3474,CATS2D_09_PP,CATS2D Positive-Positive at lag 09, Pharmacophore descriptors
3475,CATS2D_00_PN,CATS2D Positive-Negative at lag 00 (number of positive-negative atoms), Pharmacophore descriptors
3476,CATS2D_01_PN,CATS2D Positive-Negative at lag 01, Pharmacophore descriptors
3477,CATS2D_02_PN,CATS2D Positive-Negative at lag 02, Pharmacophore descriptors
3478,CATS2D_03_PN,CATS2D Positive-Negative at lag 03, Pharmacophore descriptors
3479,CATS2D_04_PN,CATS2D Positive-Negative at lag 04, Pharmacophore descriptors
3480,CATS2D_05_PN,CATS2D Positive-Negative at lag 05, Pharmacophore descriptors
3481,CATS2D_06_PN,CATS2D Positive-Negative at lag 06, Pharmacophore descriptors
3482,CATS2D_07_PN,CATS2D Positive-Negative at lag 07, Pharmacophore descriptors
3483,CATS2D_08_PN,CATS2D Positive-Negative at lag 08, Pharmacophore descriptors
3484,CATS2D_09_PN,CATS2D Positive-Negative at lag 09, Pharmacophore descriptors
3485,CATS2D_00_PL,CATS2D Positive-Lipophilic at lag 00 (number of positive-lipophilic atoms), Pharmacophore descriptors
3486,CATS2D_01_PL,CATS2D Positive-Lipophilic at lag 01, Pharmacophore descriptors
3487,CATS2D_02_PL,CATS2D Positive-Lipophilic at lag 02, Pharmacophore descriptors
3488,CATS2D_03_PL,CATS2D Positive-Lipophilic at lag 03, Pharmacophore descriptors
3489,CATS2D_04_PL,CATS2D Positive-Lipophilic at lag 04, Pharmacophore descriptors
3490,CATS2D_05_PL,CATS2D Positive-Lipophilic at lag 05, Pharmacophore descriptors
3491,CATS2D_06_PL,CATS2D Positive-Lipophilic at lag 06, Pharmacophore descriptors
3492,CATS2D_07_PL,CATS2D Positive-Lipophilic at lag 07, Pharmacophore descriptors
3493,CATS2D_08_PL,CATS2D Positive-Lipophilic at lag 08, Pharmacophore descriptors
3494,CATS2D_09_PL,CATS2D Positive-Lipophilic at lag 09, Pharmacophore descriptors
3495,CATS2D_00_NN,CATS2D Negative-Negative at lag 00 (number of negative atoms), Pharmacophore descriptors
3496,CATS2D_01_NN,CATS2D Negative-Negative at lag 01, Pharmacophore descriptors
3497,CATS2D_02_NN,CATS2D Negative-Negative at lag 02, Pharmacophore descriptors
3498,CATS2D_03_NN,CATS2D Negative-Negative at lag 03, Pharmacophore descriptors
3499,CATS2D_04_NN,CATS2D Negative-Negative at lag 04, Pharmacophore descriptors
3500,CATS2D_05_NN,CATS2D Negative-Negative at lag 05, Pharmacophore descriptors
3501,CATS2D_06_NN,CATS2D Negative-Negative at lag 06, Pharmacophore descriptors
3502,CATS2D_07_NN,CATS2D Negative-Negative at lag 07, Pharmacophore descriptors
3503,CATS2D_08_NN,CATS2D Negative-Negative at lag 08, Pharmacophore descriptors
3504,CATS2D_09_NN,CATS2D Negative-Negative at lag 09, Pharmacophore descriptors
3505,CATS2D_00_NL,CATS2D Negative-Lipophilic at lag 00 (number of negative-lipophilic atoms), Pharmacophore descriptors
3506,CATS2D_01_NL,CATS2D Negative-Lipophilic at lag 01, Pharmacophore descriptors
3507,CATS2D_02_NL,CATS2D Negative-Lipophilic at lag 02, Pharmacophore descriptors
3508,CATS2D_03_NL,CATS2D Negative-Lipophilic at lag 03, Pharmacophore descriptors
3509,CATS2D_04_NL,CATS2D Negative-Lipophilic at lag 04, Pharmacophore descriptors
3510,CATS2D_05_NL,CATS2D Negative-Lipophilic at lag 05, Pharmacophore descriptors
3511,CATS2D_06_NL,CATS2D Negative-Lipophilic at lag 06, Pharmacophore descriptors
3512,CATS2D_07_NL,CATS2D Negative-Lipophilic at lag 07, Pharmacophore descriptors
3513,CATS2D_08_NL,CATS2D Negative-Lipophilic at lag 08, Pharmacophore descriptors
3514,CATS2D_09_NL,CATS2D Negative-Lipophilic at lag 09, Pharmacophore descriptors
3515,CATS2D_00_LL,CATS2D Lipophilic-Lipophilic at lag 00 (number of lipohilic atoms), Pharmacophore descriptors
3516,CATS2D_01_LL,CATS2D Lipophilic-Lipophilic at lag 01, Pharmacophore descriptors
3517,CATS2D_02_LL,CATS2D Lipophilic-Lipophilic at lag 02, Pharmacophore descriptors
3518,CATS2D_03_LL,CATS2D Lipophilic-Lipophilic at lag 03, Pharmacophore descriptors
3519,CATS2D_04_LL,CATS2D Lipophilic-Lipophilic at lag 04, Pharmacophore descriptors
3520,CATS2D_05_LL,CATS2D Lipophilic-Lipophilic at lag 05, Pharmacophore descriptors
3521,CATS2D_06_LL,CATS2D Lipophilic-Lipophilic at lag 06, Pharmacophore descriptors
3522,CATS2D_07_LL,CATS2D Lipophilic-Lipophilic at lag 07, Pharmacophore descriptors
3523,CATS2D_08_LL,CATS2D Lipophilic-Lipophilic at lag 08, Pharmacophore descriptors
3524,CATS2D_09_LL,CATS2D Lipophilic-Lipophilic at lag 09, Pharmacophore descriptors
3525,SHED_DD,SHED Donor-Donor, Pharmacophore descriptors
3526,SHED_DA,SHED Donor-Acceptor, Pharmacophore descriptors
3527,SHED_DP,SHED Donor-Positive, Pharmacophore descriptors
3528,SHED_DN,SHED Donor-Negative, Pharmacophore descriptors
3529,SHED_DL,SHED Donor-Lipophilic, Pharmacophore descriptors
3530,SHED_AA,SHED Acceptor-Acceptor, Pharmacophore descriptors
3531,SHED_AP,SHED Acceptor-Positive, Pharmacophore descriptors
3532,SHED_AN,SHED Acceptor-Negative, Pharmacophore descriptors
3533,SHED_AL,SHED Acceptor-Lipophilic, Pharmacophore descriptors
3534,SHED_PP,SHED Positive-Positive, Pharmacophore descriptors
3535,SHED_PN,SHED Positive-Negative, Pharmacophore descriptors
3536,SHED_PL,SHED Positive-Lipophilic, Pharmacophore descriptors
3537,SHED_NN,SHED Negative-Negative, Pharmacophore descriptors
3538,SHED_NL,SHED Negative-Lipophilic, Pharmacophore descriptors
3539,SHED_LL,SHED Lipophilic-Lipophilic, Pharmacophore descriptors
3540,T(N..N),sum of topological distances between N..N, 2D Atom Pairs
3541,T(N..O),sum of topological distances between N..O, 2D Atom Pairs
3542,T(N..S),sum of topological distances between N..S, 2D Atom Pairs
3543,T(N..P),sum of topological distances between N..P, 2D Atom Pairs
3544,T(N..F),sum of topological distances between N..F, 2D Atom Pairs
3545,T(N..Cl),sum of topological distances between N..Cl, 2D Atom Pairs
3546,T(N..Br),sum of topological distances between N..Br, 2D Atom Pairs
3547,T(N..I),sum of topological distances between N..I, 2D Atom Pairs
3548,T(O..O),sum of topological distances between O..O, 2D Atom Pairs
3549,T(O..S),sum of topological distances between O..S, 2D Atom Pairs
3550,T(O..P),sum of topological distances between O..P, 2D Atom Pairs
3551,T(O..F),sum of topological distances between O..F, 2D Atom Pairs
3552,T(O..Cl),sum of topological distances between O..Cl, 2D Atom Pairs
3553,T(O..Br),sum of topological distances between O..Br, 2D Atom Pairs
3554,T(O..I),sum of topological distances between O..I, 2D Atom Pairs
3555,T(S..S),sum of topological distances between S..S, 2D Atom Pairs
3556,T(S..P),sum of topological distances between S..P, 2D Atom Pairs
3557,T(S..F),sum of topological distances between S..F, 2D Atom Pairs
3558,T(S..Cl),sum of topological distances between S..Cl, 2D Atom Pairs
3559,T(S..Br),sum of topological distances between S..Br, 2D Atom Pairs
3560,T(S..I),sum of topological distances between S..I, 2D Atom Pairs
3561,T(P..P),sum of topological distances between P..P, 2D Atom Pairs
3562,T(P..F),sum of topological distances between P..F, 2D Atom Pairs
3563,T(P..Cl),sum of topological distances between P..Cl, 2D Atom Pairs
3564,T(P..Br),sum of topological distances between P..Br, 2D Atom Pairs
3565,T(P..I),sum of topological distances between P..I, 2D Atom Pairs
3566,T(F..F),sum of topological distances between F..F, 2D Atom Pairs
3567,T(F..Cl),sum of topological distances between F..Cl, 2D Atom Pairs
3568,T(F..Br),sum of topological distances between F..Br, 2D Atom Pairs
3569,T(F..I),sum of topological distances between F..I, 2D Atom Pairs
3570,T(Cl..Cl),sum of topological distances between Cl..Cl, 2D Atom Pairs
3571,T(Cl..Br),sum of topological distances between Cl..Br, 2D Atom Pairs
3572,T(Cl..I),sum of topological distances between Cl..I, 2D Atom Pairs
3573,T(Br..Br),sum of topological distances between Br..Br, 2D Atom Pairs
3574,T(Br..I),sum of topological distances between Br..I, 2D Atom Pairs
3575,T(I..I),sum of topological distances between I..I, 2D Atom Pairs
3576,B01[C-C],Presence/absence of C &#8211; C at topological distance 1, 2D Atom Pairs
3577,B01[C-N],Presence/absence of C &#8211; N at topological distance 1, 2D Atom Pairs
3578,B01[C-O],Presence/absence of C &#8211; O at topological distance 1, 2D Atom Pairs
3579,B01[C-S],Presence/absence of C &#8211; S at topological distance 1, 2D Atom Pairs
3580,B01[C-P],Presence/absence of C &#8211; P at topological distance 1, 2D Atom Pairs
3581,B01[C-F],Presence/absence of C &#8211; F at topological distance 1, 2D Atom Pairs
3582,B01[C-Cl],Presence/absence of C &#8211; Cl at topological distance 1, 2D Atom Pairs
3583,B01[C-Br],Presence/absence of C &#8211; Br at topological distance 1, 2D Atom Pairs
3584,B01[C-I],Presence/absence of C &#8211; I at topological distance 1, 2D Atom Pairs
3585,B01[C-B],Presence/absence of C &#8211; B at topological distance 1, 2D Atom Pairs
3586,B01[C-Si],Presence/absence of C &#8211; Si at topological distance 1, 2D Atom Pairs
3587,B01[C-X],Presence/absence of C &#8211; X at topological distance 1, 2D Atom Pairs
3588,B01[N-N],Presence/absence of N &#8211; N at topological distance 1, 2D Atom Pairs
3589,B01[N-O],Presence/absence of N &#8211; O at topological distance 1, 2D Atom Pairs
3590,B01[N-S],Presence/absence of N &#8211; S at topological distance 1, 2D Atom Pairs
3591,B01[N-P],Presence/absence of N &#8211; P at topological distance 1, 2D Atom Pairs
3592,B01[N-F],Presence/absence of N &#8211; F at topological distance 1, 2D Atom Pairs
3593,B01[N-Cl],Presence/absence of N &#8211; Cl at topological distance 1, 2D Atom Pairs
3594,B01[N-Br],Presence/absence of N &#8211; Br at topological distance 1, 2D Atom Pairs
3595,B01[N-I],Presence/absence of N &#8211; I at topological distance 1, 2D Atom Pairs
3596,B01[N-B],Presence/absence of N &#8211; B at topological distance 1, 2D Atom Pairs
3597,B01[N-Si],Presence/absence of N &#8211; Si at topological distance 1, 2D Atom Pairs
3598,B01[N-X],Presence/absence of N &#8211; X at topological distance 1, 2D Atom Pairs
3599,B01[O-O],Presence/absence of O &#8211; O at topological distance 1, 2D Atom Pairs
3600,B01[O-S],Presence/absence of O &#8211; S at topological distance 1, 2D Atom Pairs
3601,B01[O-P],Presence/absence of O &#8211; P at topological distance 1, 2D Atom Pairs
3602,B01[O-F],Presence/absence of O &#8211; F at topological distance 1, 2D Atom Pairs
3603,B01[O-Cl],Presence/absence of O &#8211; Cl at topological distance 1, 2D Atom Pairs
3604,B01[O-Br],Presence/absence of O &#8211; Br at topological distance 1, 2D Atom Pairs
3605,B01[O-I],Presence/absence of O &#8211; I at topological distance 1, 2D Atom Pairs
3606,B01[O-B],Presence/absence of O &#8211; B at topological distance 1, 2D Atom Pairs
3607,B01[O-Si],Presence/absence of O &#8211; Si at topological distance 1, 2D Atom Pairs
3608,B01[O-X],Presence/absence of O &#8211; X at topological distance 1, 2D Atom Pairs
3609,B01[S-S],Presence/absence of S &#8211; S at topological distance 1, 2D Atom Pairs
3610,B01[S-P],Presence/absence of S &#8211; P at topological distance 1, 2D Atom Pairs
3611,B01[S-F],Presence/absence of S &#8211; F at topological distance 1, 2D Atom Pairs
3612,B01[S-Cl],Presence/absence of S &#8211; Cl at topological distance 1, 2D Atom Pairs
3613,B01[S-Br],Presence/absence of S &#8211; Br at topological distance 1, 2D Atom Pairs
3614,B01[S-I],Presence/absence of S &#8211; I at topological distance 1, 2D Atom Pairs
3615,B01[S-B],Presence/absence of S &#8211; B at topological distance 1, 2D Atom Pairs
3616,B01[S-Si],Presence/absence of S &#8211; Si at topological distance 1, 2D Atom Pairs
3617,B01[S-X],Presence/absence of S &#8211; X at topological distance 1, 2D Atom Pairs
3618,B01[P-P],Presence/absence of P &#8211; P at topological distance 1, 2D Atom Pairs
3619,B01[P-F],Presence/absence of P &#8211; F at topological distance 1, 2D Atom Pairs
3620,B01[P-Cl],Presence/absence of P &#8211; Cl at topological distance 1, 2D Atom Pairs
3621,B01[P-Br],Presence/absence of P &#8211; Br at topological distance 1, 2D Atom Pairs
3622,B01[P-I],Presence/absence of P &#8211; I at topological distance 1, 2D Atom Pairs
3623,B01[P-B],Presence/absence of P &#8211; B at topological distance 1, 2D Atom Pairs
3624,B01[P-Si],Presence/absence of P &#8211; Si at topological distance 1, 2D Atom Pairs
3625,B01[P-X],Presence/absence of P &#8211; X at topological distance 1, 2D Atom Pairs
3626,B01[F-F],Presence/absence of F &#8211; F at topological distance 1, 2D Atom Pairs
3627,B01[F-Cl],Presence/absence of F &#8211; Cl at topological distance 1, 2D Atom Pairs
3628,B01[F-Br],Presence/absence of F &#8211; Br at topological distance 1, 2D Atom Pairs
3629,B01[F-I],Presence/absence of F &#8211; I at topological distance 1, 2D Atom Pairs
3630,B01[F-B],Presence/absence of F &#8211; B at topological distance 1, 2D Atom Pairs
3631,B01[F-Si],Presence/absence of F &#8211; Si at topological distance 1, 2D Atom Pairs
3632,B01[F-X],Presence/absence of F &#8211; X at topological distance 1, 2D Atom Pairs
3633,B01[Cl-Cl],Presence/absence of Cl &#8211; Cl at topological distance 1, 2D Atom Pairs
3634,B01[Cl-Br],Presence/absence of Cl &#8211; Br at topological distance 1, 2D Atom Pairs
3635,B01[Cl-I],Presence/absence of Cl &#8211; I at topological distance 1, 2D Atom Pairs
3636,B01[Cl-B],Presence/absence of Cl &#8211; B at topological distance 1, 2D Atom Pairs
3637,B01[Cl-Si],Presence/absence of Cl &#8211; Si at topological distance 1, 2D Atom Pairs
3638,B01[Cl-X],Presence/absence of Cl &#8211; X at topological distance 1, 2D Atom Pairs
3639,B01[Br-Br],Presence/absence of Br &#8211; Br at topological distance 1, 2D Atom Pairs
3640,B01[Br-I],Presence/absence of Br &#8211; I at topological distance 1, 2D Atom Pairs
3641,B01[Br-B],Presence/absence of Br &#8211; B at topological distance 1, 2D Atom Pairs
3642,B01[Br-Si],Presence/absence of Br &#8211; Si at topological distance 1, 2D Atom Pairs
3643,B01[Br-X],Presence/absence of Br &#8211; X at topological distance 1, 2D Atom Pairs
3644,B01[I-I],Presence/absence of I &#8211; I at topological distance 1, 2D Atom Pairs
3645,B01[I-B],Presence/absence of I &#8211; B at topological distance 1, 2D Atom Pairs
3646,B01[I-Si],Presence/absence of I &#8211; Si at topological distance 1, 2D Atom Pairs
3647,B01[I-X],Presence/absence of I &#8211; X at topological distance 1, 2D Atom Pairs
3648,B01[B-B],Presence/absence of B &#8211; B at topological distance 1, 2D Atom Pairs
3649,B01[B-Si],Presence/absence of B &#8211; Si at topological distance 1, 2D Atom Pairs
3650,B01[B-X],Presence/absence of B &#8211; X at topological distance 1, 2D Atom Pairs
3651,B01[Si-Si],Presence/absence of Si &#8211; Si at topological distance 1, 2D Atom Pairs
3652,B01[Si-X],Presence/absence of Si &#8211; X at topological distance 1, 2D Atom Pairs
3653,B01[X-X],Presence/absence of X &#8211; X at topological distance 1, 2D Atom Pairs
3654,B02[C-C],Presence/absence of C &#8211; C at topological distance 2, 2D Atom Pairs
3655,B02[C-N],Presence/absence of C &#8211; N at topological distance 2, 2D Atom Pairs
3656,B02[C-O],Presence/absence of C &#8211; O at topological distance 2, 2D Atom Pairs
3657,B02[C-S],Presence/absence of C &#8211; S at topological distance 2, 2D Atom Pairs
3658,B02[C-P],Presence/absence of C &#8211; P at topological distance 2, 2D Atom Pairs
3659,B02[C-F],Presence/absence of C &#8211; F at topological distance 2, 2D Atom Pairs
3660,B02[C-Cl],Presence/absence of C &#8211; Cl at topological distance 2, 2D Atom Pairs
3661,B02[C-Br],Presence/absence of C &#8211; Br at topological distance 2, 2D Atom Pairs
3662,B02[C-I],Presence/absence of C &#8211; I at topological distance 2, 2D Atom Pairs
3663,B02[C-B],Presence/absence of C &#8211; B at topological distance 2, 2D Atom Pairs
3664,B02[C-Si],Presence/absence of C &#8211; Si at topological distance 2, 2D Atom Pairs
3665,B02[C-X],Presence/absence of C &#8211; X at topological distance 2, 2D Atom Pairs
3666,B02[N-N],Presence/absence of N &#8211; N at topological distance 2, 2D Atom Pairs
3667,B02[N-O],Presence/absence of N &#8211; O at topological distance 2, 2D Atom Pairs
3668,B02[N-S],Presence/absence of N &#8211; S at topological distance 2, 2D Atom Pairs
3669,B02[N-P],Presence/absence of N &#8211; P at topological distance 2, 2D Atom Pairs
3670,B02[N-F],Presence/absence of N &#8211; F at topological distance 2, 2D Atom Pairs
3671,B02[N-Cl],Presence/absence of N &#8211; Cl at topological distance 2, 2D Atom Pairs
3672,B02[N-Br],Presence/absence of N &#8211; Br at topological distance 2, 2D Atom Pairs
3673,B02[N-I],Presence/absence of N &#8211; I at topological distance 2, 2D Atom Pairs
3674,B02[N-B],Presence/absence of N &#8211; B at topological distance 2, 2D Atom Pairs
3675,B02[N-Si],Presence/absence of N &#8211; Si at topological distance 2, 2D Atom Pairs
3676,B02[N-X],Presence/absence of N &#8211; X at topological distance 2, 2D Atom Pairs
3677,B02[O-O],Presence/absence of O &#8211; O at topological distance 2, 2D Atom Pairs
3678,B02[O-S],Presence/absence of O &#8211; S at topological distance 2, 2D Atom Pairs
3679,B02[O-P],Presence/absence of O &#8211; P at topological distance 2, 2D Atom Pairs
3680,B02[O-F],Presence/absence of O &#8211; F at topological distance 2, 2D Atom Pairs
3681,B02[O-Cl],Presence/absence of O &#8211; Cl at topological distance 2, 2D Atom Pairs
3682,B02[O-Br],Presence/absence of O &#8211; Br at topological distance 2, 2D Atom Pairs
3683,B02[O-I],Presence/absence of O &#8211; I at topological distance 2, 2D Atom Pairs
3684,B02[O-B],Presence/absence of O &#8211; B at topological distance 2, 2D Atom Pairs
3685,B02[O-Si],Presence/absence of O &#8211; Si at topological distance 2, 2D Atom Pairs
3686,B02[O-X],Presence/absence of O &#8211; X at topological distance 2, 2D Atom Pairs
3687,B02[S-S],Presence/absence of S &#8211; S at topological distance 2, 2D Atom Pairs
3688,B02[S-P],Presence/absence of S &#8211; P at topological distance 2, 2D Atom Pairs
3689,B02[S-F],Presence/absence of S &#8211; F at topological distance 2, 2D Atom Pairs
3690,B02[S-Cl],Presence/absence of S &#8211; Cl at topological distance 2, 2D Atom Pairs
3691,B02[S-Br],Presence/absence of S &#8211; Br at topological distance 2, 2D Atom Pairs
3692,B02[S-I],Presence/absence of S &#8211; I at topological distance 2, 2D Atom Pairs
3693,B02[S-B],Presence/absence of S &#8211; B at topological distance 2, 2D Atom Pairs
3694,B02[S-Si],Presence/absence of S &#8211; Si at topological distance 2, 2D Atom Pairs
3695,B02[S-X],Presence/absence of S &#8211; X at topological distance 2, 2D Atom Pairs
3696,B02[P-P],Presence/absence of P &#8211; P at topological distance 2, 2D Atom Pairs
3697,B02[P-F],Presence/absence of P &#8211; F at topological distance 2, 2D Atom Pairs
3698,B02[P-Cl],Presence/absence of P &#8211; Cl at topological distance 2, 2D Atom Pairs
